CAPÍTULO,PERGUNTA,RESPOSTA
Capítulo 1,Para quem Lucas escreveu o seu evangelho?,TEÓFILO
Capítulo 1,Quem era o rei da Judéia quando Jesus nasceu?,HERODES
Capítulo 1,"O que fazia Zacarias, de qual ordem ele era, qual o nome de sua mulher e era uma das filhas de quem?","SACERDOTE DA ORDEM DE ABIAS; SUA MULHER ISABEL, UMA DAS FILHAS DE ARÃO."
Capítulo 1,"O casal não tinha filhos, porque Isabel era estéril. Certa vez, segundo o costume sacerdotal, coube a Zacarias entrar no templo para fazer o quê?",OFERECER INCENSO.
Capítulo 1,Quem apareceu a ele e o que disse?,"UM ANJO, DISSE QUE ELES TERIAM UM FILHO E SEU NOME SERIA JOÃO."
Capítulo 1,"João seria grande, o que ele não beberia e seria cheio do quê?","NÃO BEBERIA VINHO NEM BEBIDA FORTE, E SERIA CHEIO DO ESPÍRITO SANTO."
Capítulo 1,O que faria João e que virtude ele teria?,"CONVERTERIA OS FILHOS DE ISRAEL AO SENHOR, PARA PREPARAR UM POVO BEM DISPOSTO. TERIA A VIRTUDE DE ELIAS."
Capítulo 1,"Como Zacarias duvidou, qual foi o sinal que o anjo deu?",ELE FICARIA MUDO ATÉ O NASCIMENTO DE JOÃO.
Capítulo 1,Durante quanto tempo Isabel ocultou a gravidez?,CINCO MESES.
Capítulo 1,No sexto mês quem foi até Nazaré falar com a virgem Maria?,O ANJO GABRIEL.
Capítulo 1,Quem era o marido de Maria e de que casa ele era?,"JOSÉ, DA CASA DE DAVI."
Capítulo 1,O que disse o anjo a Maria?,"SALVE, AGRACIADA; O SENHOR É CONTIGO; BENDITA ÉS TU ENTRE AS MULHERES."
Capítulo 1,Qual foi a reação de Maria?,TURBOU-SE MUITO COM AQUELA SAUDAÇÃO.
Capítulo 1,O que ele disse que aconteceria com ela?,ELA CONCEBERIA E DARIA À LUZ UM FILHO.
Capítulo 1,Que nome seria dado à criança e por quê?,"JESUS – SERÁ GRANDE, FILHO DO ALTÍSSIMO, REINARÁ PARA SEMPRE, SEU REINO NÃO TERÁ FIM."
Capítulo 1,Como Maria concebeu sem conhecer varão?,"O ESPÍRITO SANTO DESCERIA SOBRE ELA, E A VIRTUDE DO ALTÍSSIMO A COBRIRIA."
Capítulo 1,O que Isabel era de Maria e quanto tempo era sua gravidez?,"PRIMA, ESTAVA NO SEXTO MÊS."
Capítulo 1,O que Maria disse ao anjo?,EIS AQUI SUA SERVA. CUMPRA-SE EM MIM SEGUNDO A TUA PALAVRA.
Capítulo 1,O que aconteceu quando Isabel ouviu a saudação de Maria?,A CRIANCINHA SALTOU NO SEU VENTRE.
Capítulo 1,O que Isabel exclamou com grande voz?,"BENDITA ÉS TU ENTRE AS MULHERES, BENDITO O FRUTO DO TEU VENTRE."
Capítulo 1,Quantos meses Maria ficou com Isabel?,QUASE TRÊS MESES.
Capítulo 1,O que Zacarias escreveu na tabuinha?,O NOME DE JOÃO.
Capítulo 1,O que aconteceu assim que escreveu?,SUA BOCA SE ABRIU E LOUVOU A DEUS.
Capítulo 1,O que Zacarias disse que João seria chamado?,PROFETA DO ALTÍSSIMO.
Capítulo 1,Onde o menino cresceria e se fortaleceria em espírito?,"NOS DESERTOS, ATÉ SE MOSTRAR A ISRAEL."
Capítulo 2,Quem fez um decreto para que todos se alistassem?,CÉSAR AUGUSTO.
Capítulo 2,Quem era governador da Síria no primeiro alistamento?,CIRÊNIO.
Capítulo 2,Onde José e Maria foram se alistar e por quê?,"EM BELÉM, PORQUE JOSÉ ERA DA CASA DE DAVI."
Capítulo 2,Por que Jesus foi colocado em uma manjedoura?,POR NÃO HAVER LUGAR NA ESTALAGEM.
Capítulo 2,A quem apareceu o anjo e o que disse?,"AOS PASTORES DE BELÉM, DISSE: NASCEU HOJE O SALVADOR, O CRISTO."
Capítulo 2,Que sinal o anjo deu sobre Jesus?,O MENINO ESTARIA ENVOLTO EM PANOS E DEITADO EM UMA MANJEDOURA.
Capítulo 2,O que apareceu no céu e o que eles cantavam?,"MULTIDÃO DOS EXÉRCITOS CELESTIAIS, CANTAVAM: GLÓRIA A DEUS NAS ALTURAS."
Capítulo 2,Qual era a oferta para apresentar Jesus no templo?,UM PAR DE ROLAS OU DOIS POMBINHOS.
Capítulo 2,Como se chamava o homem justo que veria o Salvador?,SIMEÃO.
Capítulo 2,"Sobre a profetisa Ana, complete: nome, pai, tribo, estado civil, idade.","ANA, FILHA DE FANUEL, DA TRIBO DE ASER, VIÚVA, QUASE 84 ANOS."
Capítulo 2,Para que lugar voltaram depois?,"PARA NAZARÉ, NA GALILÉIA."
Capítulo 2,Quantos anos tinha Jesus quando foi à Páscoa?,DOZE ANOS.
Capítulo 2,Quanto tempo demoraram para perceber que Jesus estava ausente e quantos dias o procuraram?,"UM DIA DE CAMINHO, TRÊS DIAS PROCURANDO."
Capítulo 2,Onde encontraram Jesus e o que ele fazia?,"NO TEMPLO, ASSENTADO ENTRE OS DOUTORES, OUVINDO E INTERROGANDO."
Capítulo 2,O que Jesus respondeu aos pais?,NÃO SABEIS QUE ME CONVÉM TRATAR DOS NEGÓCIOS DO MEU PAI?
Capítulo 3,No ano quinze de que imperador romano João começou a pregar?,TIBÉRIO CÉSAR
Capítulo 3,Quem era governador da Judéia?,PÔNCIO PILATOS
Capítulo 3,Quem era tetrarca da Galiléia?,HERODES
Capítulo 3,Quem era tetrarca da Ituréia e da província de Traconites?,FILIPE
Capítulo 3,Filipe era irmão de quem?,HERODES
Capítulo 3,Quem era tetrarca de Abilene?,LISÂNIAS
Capítulo 3,Quem eram os sumos sacerdotes?,ANÁS E CAIFÁS
Capítulo 3,O que João pregava ao percorrer toda a terra ao redor do Jordão?,O BATISMO DE ARREPENDIMENTO PARA PERDÃO DOS PECADOS
Capítulo 3,"Que profeta profetizou sobre João Batista, e o que dizia?",ISAÍAS – VOZ DO QUE CLAMA NO DESERTO: PREPARAI O CAMINHO DO SENHOR E ENDIREITAI AS SUAS VEREDAS.
Capítulo 3,O que João respondeu à multidão?,QUEM TIVER DUAS TÚNICAS REPARTA COM QUEM NÃO TEM.
Capítulo 3,O que João respondeu aos publicanos?,NÃO COBRAR MAIS DO QUE ESTÁ ORDENADO.
Capítulo 3,O que João respondeu aos soldados?,"NÃO MALTRATAR, NÃO DEFRAUDAR, CONTENTAR-SE COM O SOLDO."
Capítulo 3,O que João respondeu quando perguntaram se ele era o Cristo?,"NÃO SOU. EU BATIZO COM ÁGUA, MAS VIRÁ AQUELE QUE BATIZARÁ COM O ESPÍRITO SANTO E COM FOGO."
Capítulo 3,Por que Herodes prendeu João Batista?,"POR TER REPREENDIDO HERODES AO TOMAR HERODIAS, MULHER DE SEU IRMÃO FILIPE."
Capítulo 3,O que desceu sobre Jesus no batismo e o que uma voz disse?,"O ESPÍRITO SANTO EM FORMA DE POMBA; VOZ DISSE: TU ÉS MEU FILHO AMADO, EM TI ME AGRADO."
Capítulo 3,Com que idade Jesus começou seu ministério?,QUASE TRINTA ANOS.
